Province,Year,TempAvg,RainfallAnnual,HumidityAvg
PhuTho,2000,23.0369,1438.81,79.4255
PhuTho,2001,23.0959,1894.89,80.3432
PhuTho,2002,23.2612,1325.27,80.2306
PhuTho,2003,23.7873,1233.26,75.9518
PhuTho,2004,23.2096,1227.07,75.5937
PhuTho,2005,23.6943,1429.88,74.8298
PhuTho,2006,24.03,999.15,74.1092
PhuTho,2007,23.7564,1201.28,73.1422
PhuTho,2008,22.6686,1589.79,76.636
PhuTho,2009,23.3551,1208.42,78.9285
PhuTho,2010,24.0012,1138.33,74.1898
PhuTho,2011,22.2056,1401.81,78.0291
PhuTho,2012,23.3638,1552.96,79.667
PhuTho,2013,22.9317,1938.88,80.0228
PhuTho,2014,23.0512,1427.58,81.7995
PhuTho,2015,23.9743,1467.03,79.9639
PhuTho,2016,23.565,1528.72,79.0475
PhuTho,2017,23.3981,2037.01,80.9862
PhuTho,2018,23.2624,2156.64,81.9131
PhuTho,2019,24.0771,1932.92,81.7564
PhuTho,2020,23.4287,2093.2,82.5274
PhuTho,2021,23.3581,1844.25,82.0593
PhuTho,2022,22.8817,2118.36,83.065
PhuTho,2023,23.9986,1425.47,79.9321
