Province,Year,TempAvg,RainfallAnnual,HumidityAvg
HungYen,2000,23.5934,1360.43,82.5054
HungYen,2001,23.7732,1980.99,83.2155
HungYen,2002,23.9441,1343.64,84.0252
HungYen,2003,24.4215,1385.41,80.9659
HungYen,2004,23.8253,1349.64,80.2107
HungYen,2005,24.1527,1548.99,79.8909
HungYen,2006,24.1873,1318.81,81.0595
HungYen,2007,23.9172,1327.92,80.6684
HungYen,2008,23.1729,1697.4,81.9469
HungYen,2009,23.9408,1407.67,83.1113
HungYen,2010,24.1037,1475.51,82.3046
HungYen,2011,22.6801,1687.32,82.3709
HungYen,2012,23.8512,1833.13,84.3064
HungYen,2013,23.5272,1836.89,83.9339
HungYen,2014,23.7886,1489.05,84.0996
HungYen,2015,24.5493,1559.91,83.7487
HungYen,2016,23.9448,1758.17,83.4722
HungYen,2017,23.9644,2268.69,84.3101
HungYen,2018,23.897,2018.18,84.2998
HungYen,2019,24.7307,1566.94,84.8256
HungYen,2020,24.1605,1885.15,85.1193
HungYen,2021,24.0438,1944.94,84.2266
HungYen,2022,23.6455,2198.57,84.8319
HungYen,2023,24.4446,1676.55,83.7078
